EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
887,113.68,113.85,113.68,113.7759,427139
888,113.52,113.69,113.5101,113.67,441737
889,113.41,113.55,113.31,113.525,823298
890,113.48,113.53,113.25,113.42,728300
891,113.581,113.61,113.34,113.49,605819
892,113.67,113.765,113.57,113.59,581877
893,113.8701,113.9693,113.63,113.67,739374
894,113.8944,113.93,113.75,113.88,463351
895,113.9298,114.04,113.87,113.9,649099
896,114.06,114.09,113.81,113.93,537723
897,114.0183,114.13,113.95,114.05,585108
898,113.8901,114.03,113.8457,114.02,488344
899,113.81,113.9143,113.645,113.89,562919
900,113.82,114.03,113.77,113.8,660762
901,113.5543,113.87,113.38,113.83,1488759
902,113.49,113.63,113.42,113.55,846749
903,113.58,113.58,113.38,113.49,3753148
a1474378200,112.92,113.06,112.92,113.05,419324
1,113.13,113.44,112.51,112.92,3433492
2,113.3,113.57,113.01,113.1249,2595175
3,113.88,113.95,113.28,113.3,1947295
4,113.69,114.04,113.64,113.88,1439799
5,113.56,113.7,113.32,113.69,1385573
6,113.82,113.83,113.52,113.5533,789281
7,113.59,113.96,113.547,113.82,870418
8,113.75,113.755,113.55,113.59,738539
9,113.79,113.85,113.67,113.75,562386
10,114.04,114.12,113.76,113.79,1045339
11,113.96,114.07,113.868,114.03,541282
12,113.866,114.02,113.78,113.96,490719
13,113.81,113.94,113.7035,113.861,653769
14,113.8332,113.85,113.7507,113.79,360538
15,113.795,113.92,113.77,113.83,497057
16,113.76,113.81,113.695,113.795,315518
17,113.62,113.82,113.61,113.75,322027
18,113.8311,113.84,113.6,113.625,313195
19,113.69,113.83,113.56,113.83,341871
20,113.525,113.72,113.5,113.705,376246
21,113.41,113.638,113.38,113.5264,683389
22,113.31,113.46,113.18,113.4041,913881
23,113.42,113.44,113.25,113.31,308882
24,113.3644,113.41,113.3,113.41,313594
25,113.49,113.54,113.3125,113.37,355929
26,113.5,113.54,113.42,113.49,335926
27,113.49,113.5111,113.37,113.49,471197
28,113.64,113.695,113.44,113.49,462997
29,113.6435,113.66,113.55,113.64,347488
30,113.6348,113.69,113.56,113.64,393357
31,113.7561,113.79,113.57,113.63,531930
32,113.74,113.78,113.68,113.76,490964
33,113.87,113.93,113.695,113.7499,521221
34,113.8,113.87,113.76,113.87,495810
35,113.82,113.93,113.79,113.8,514735
36,113.91,113.94,113.78,113.82,463915
37,113.835,113.94,113.8,113.91,635831
38,113.82,113.87,113.71,113.835,687486
39,113.57,113.855,113.57,113.82,2849731
144,113.88,113.88,113.81,113.85,291955
145,113.3,113.989,113.1158,113.89,1911637
146,113.3937,113.5,113.25,113.31,925757
147,113.1401,113.46,113.05,113.4,1201943
148,113.16,113.33,113.03,113.14,1106530
149,113.2,113.36,113.1,113.15,680848
150,113.2861,113.3,113.17,113.2,497898
151,113.6,113.78,113.17,113.28,1283458
152,113.32,113.6,113.28,113.6,803967
153,113.26,113.41,113.225,113.3193,467148
154,113.08,113.285,113.06,113.27,662918
155,113.01,113.11,112.9,113.08,1059821
156,113.11,113.19,113,113.01,507365
157,113.07,113.108,112.93,113.1001,446900
158,113.05,113.125,112.985,113.08,294750
159,112.9,113.0999,112.89,113.0448,503413
160,112.9,112.9699,112.85,112.89,410029
161,112.655,112.94,112.62,112.9099,966338
162,112.58,112.71,112.51,112.66,942968
163,112.48,112.67,112.45,112.58,598748
164,112.6311,112.76,112.441,112.4746,525928
165,112.69,112.82,112.62,112.63,560725
166,112.75,112.82,112.66,112.7,302579
167,112.74,112.79,112.7,112.75,272320
168,112.589,112.7401,112.56,112.7401,365224
169,112.59,112.64,112.57,112.5899,339280
170,112.75,112.81,112.54,112.5944,499689
171,112.68,112.87,112.64,112.75,503501
172,113.002,113.19,112.5,112.65,1461879
173,112.988,113.25,112.81,113.01,1151631
174,112.79,113.09,112.72,112.99,789197
175,113.0792,113.17,112.77,112.78,653529
176,113.111,113.34,113.02,113.06,759673
177,113.3693,113.42,113.02,113.1,771353
178,113.37,113.52,113.2401,113.37,747105
179,113.41,113.57,113.36,113.37,554519
180,113.48,113.52,113.36,113.42,568567
181,113.55,113.62,113.45,113.4889,719165
182,113.57,113.63,113.485,113.56,958790
183,113.55,113.66,113.48,113.58,3766925
288,114.29,114.38,114.23,114.35,331800
289,114.4541,114.75,114,114.29,2963439
290,114.57,114.62,114.44,114.45,1436955
291,114.79,114.87,114.54,114.57,1378488
292,114.51,114.805,114.49,114.79,925843
293,114.59,114.66,114.3905,114.52,984422
294,114.87,114.93,114.53,114.59,945466
295,114.84,114.94,114.78,114.878,762631
296,114.5,114.88,114.43,114.8443,1062341
297,114.4448,114.55,114.38,114.5072,827031
298,114.67,114.67,114.43,114.45,588300
299,114.675,114.69,114.46,114.665,535182
300,114.63,114.75,114.59,114.67,500914
301,114.815,114.82,114.57,114.6316,618744
302,114.69,114.82,114.64,114.8135,327331
303,114.64,114.71,114.57,114.69,305981
304,114.468,114.68,114.43,114.6341,451263
305,114.46,114.51,114.42,114.47,362292
306,114.58,114.68,114.46,114.465,487248
307,114.57,114.64,114.51,114.58,312588
308,114.54,114.62,114.47,114.57,475870
309,114.58,114.588,114.47,114.54,342705
310,114.6301,114.67,114.5338,114.58,385539
311,114.58,114.72,114.58,114.635,337301
312,114.6,114.65,114.52,114.58,252833
313,114.6701,114.7,114.59,114.6,357241
314,114.6337,114.71,114.58,114.6793,267191
315,114.67,114.68,114.5811,114.63,305915
316,114.69,114.72,114.65,114.66,310499
317,114.47,114.69,114.4,114.6837,618931
318,114.44,114.5,114.29,114.4775,660881
319,114.41,114.49,114.22,114.43,540287
320,114.425,114.48,114.38,114.42,378375
321,114.53,114.57,114.37,114.44,483473
322,114.6233,114.63,114.49,114.525,695739
323,114.4999,114.63,114.48,114.63,585083
324,114.6084,114.65,114.445,114.5,593092
325,114.74,114.75,114.57,114.61,696473
326,114.7,114.79,114.66,114.74,756322
327,114.62,114.75,114.6,114.69,2860789
432,114.45,114.55,114.42,114.42,542518
433,114.3789,114.79,114.27,114.47,1578432
434,114.49,114.5,114.15,114.38,1136880
435,114.151,114.48,114.14,114.48,689854
436,114.2283,114.2921,114.13,114.1501,589342
437,114.3311,114.37,114.1,114.23,916081
438,114.3864,114.455,114.24,114.335,557336
439,114.32,114.4,114.25,114.39,381712
440,114.47,114.49,114.29,114.32,505709
441,114.34,114.47,114.28,114.47,340192
442,114.47,114.51,114.315,114.34,448222
443,114.47,114.625,114.42,114.47,597188
444,114.45,114.5,114.3601,114.47,294626
445,114.475,114.5,114.43,114.451,304280
446,114.54,114.61,114.46,114.4799,333265
447,114.5,114.63,114.48,114.545,422160
448,114.58,114.59,114.46,114.48,273537
449,114.5036,114.59,114.47,114.58,344821
450,114.55,114.58,114.505,114.51,183716
451,114.535,114.59,114.47,114.55,195067
452,114.5403,114.565,114.5,114.53,177409
453,114.675,114.695,114.53,114.5341,406417
454,114.66,114.7,114.61,114.6707,320660
455,114.58,114.68,114.53,114.65,355802
456,114.59,114.6401,114.54,114.58,241429
457,114.2,114.5999,114.19,114.59,660711
458,113.33,114.25,113.32,114.2,2310599
459,111.95,113.3248,111.55,113.3239,8094371
460,112.465,112.7,111.6,111.95,5950116
461,112.8663,112.89,112.03,112.465,3333704
462,112.56,112.97,112.51,112.8701,1936330
463,112.86,113.08,112.2644,112.56,2413459
464,112.86,113,112.81,112.86,855326
465,112.85,112.99,112.5,112.85,1645614
466,113.07,113.21,112.7,112.85,1332967
467,112.81,113.13,112.68,113.071,1139773
468,112.9801,113.04,112.67,112.81,1049811
469,112.83,113.18,112.82,112.99,1113489
470,112.795,112.85,112.7,112.82,1202718
471,112.71,112.84,112.68,112.799,4209983
864,111.6,111.64,111.58,111.64,402599
865,112.32,112.61,111.55,111.6,2794821
866,112.75,112.85,112.24,112.31,1808722
867,113.07,113.2799,112.73,112.74,1732835
868,113.21,113.25,112.8414,113.06,1079828
869,113.2,113.39,113.16,113.215,1099834
870,113.091,113.2893,113.05,113.2,739022
871,113.2,113.25,113.03,113.092,648906
872,113.12,113.36,113.08,113.21,666413
873,113.03,113.15,112.99,113.12,518064
874,112.93,113.06,112.82,113.03,585824
875,113.03,113.12,112.9,112.9301,454207
876,112.98,113.11,112.89,113.0371,483316
877,113,113.02,112.76,112.9841,512905
878,112.99,113.01,112.87,113,304969
879,112.94,113.01,112.88,113,285357
880,112.96,113.02,112.9,112.94,272244
881,113.04,113.09,112.95,112.96,288495
882,113.029,113.08,112.95,113.04,244965
883,112.93,113.07,112.92,113.025,242622
884,113.01,113.0927,112.86,112.92,370744
885,112.87,113.0301,112.87,113.02,307522
886,112.83,112.965,112.82,112.88,297009
887,112.87,112.91,112.8,112.84,259134
888,112.88,112.99,112.83,112.87,391057
889,112.88,112.9594,112.82,112.87,394940
890,112.93,112.94,112.81,112.88,346367
891,113,113,112.9,112.94,312251
892,112.995,113.035,112.955,112.99,238693
893,113.04,113.05,112.92,112.975,119703

